annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2009;1;Hommes;1;Droit et sciences économiques;1;Professeurs et assimilés;0870669E;Université de Limoges;22;Limoges;74;Limousin;0861420B;PRES Limousin Poitou-Charentes;;Hors IDEX;1;45.82649, 1.258314
2009;1;Hommes;1;Droit et sciences économiques;2;Maîtres de conférences et assimilés;0830766G;Université de Toulon - Sud Toulon Var;23;Nice;93;Provence-Alpes-Côte d'Azur;;Hors PRES;;Hors IDEX;1;43.13739, 6.008149
2009;1;Hommes;1;Droit et sciences économiques;2;Maîtres de conférences et assimilés;0860856N;Université de Poitiers;13;Poitiers;54;Poitou-Charentes;0861420B;PRES Limousin Poitou-Charentes;;Hors IDEX;1;46.5857, 0.345813
2009;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0311383K;Université Toulouse - Jean Jaurès;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;2;43.57769, 1.404021
2009;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0311384L;Université Toulouse 3 - Paul Sabatier;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;1;43.55708, 1.466079
2009;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0331765P;Université Bordeaux 2 - Victor Segalen;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;7;
2009;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0753431X;Institut détudes politiques de Paris;01;Paris;11;Île-de-France;0755598C;PRES Sorbonne Paris Cité;7;IDEX USPC;4;48.85407, 2.328359
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0180910S;École nationale supérieure d'ingénieurs de Bourges;18;Orléans-Tours;24;Centre;;Hors PRES;;Hors IDEX;2;
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0251215K;Université de Besançon - Franche-Comté;03;Besançon;43;Franche-Comté;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;3;47.24045, 6.022715
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0310152X;Institut national des sciences appliquées de Toulouse;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;2;43.57185, 1.464936
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0331764N;Université Bordeaux 1 - Sciences technologies;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;15;
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0333232J;Bordeaux INP;04;Bordeaux;72;Aquitaine;0333178A;PRES Université de Bordeaux;2;IDEX Bordeaux;1;44.80613, -0.60754
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0350097R;Institut national des sciences appliquées de Rennes;14;Rennes;53;Bretagne;0352756F;PRES Université européenne de Bretagne;;Hors IDEX;1;48.1208, -1.63575
